Order Date,Ship Date,Ship Mode,State/Province,Region,Factory,Shipping Lead Time,Route,Sales,Units,Gross Profit
2023-06-03,2023-06-06,Standard,MI,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → MI,1182.45,390,597.45
2023-05-20,2023-05-25,Standard,MI,Midwest,Sugar Shack,5,Sugar Shack → MI,401.08,268,267.08
2023-01-27,2023-02-01,Standard,MA,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → MA,1122.51,404,516.51
2023-05-15,2023-05-16,Expedited,CT,Northeast,Wicked Choccy's,1,Wicked Choccy's → CT,153.27,67,72.87
2023-12-20,2023-12-24,Standard,OR,West,Wicked Choccy's,4,Wicked Choccy's → OR,532.16,230,256.15999999999997
2023-06-07,2023-06-11,Standard,OR,West,Sugar Shack,4,Sugar Shack → OR,484.67,351,309.17
2023-10-14,2023-10-16,Expedited,OH,Midwest,Secret Factory,2,Secret Factory → OH,1132.28,461,671.28
2023-04-02,2023-04-05,Standard,PA,Northeast,Sugar Shack,3,Sugar Shack → PA,330.39,205,227.89
2023-08-29,2023-09-02,Standard,IN,Midwest,Wicked Choccy's,4,Wicked Choccy's → IN,280.47,124,131.67000000000002
2023-04-09,2023-04-12,Expedited,GA,South,Secret Factory,3,Secret Factory → GA,485.87,189,296.87
2023-07-24,2023-07-29,Standard,TX,South,The Other Factory,5,The Other Factory → TX,225.78,101,134.88
2023-05-16,2023-05-21,Standard,AZ,West,Lot's O' Nuts,5,Lot's O' Nuts → AZ,713.85,233,364.35
2023-09-19,2023-09-22,Standard,CT,Northeast,Lot's O' Nuts,3,Lot's O' Nuts → CT,1101.73,372,543.73
2023-09-24,2023-09-29,Standard,MI,Midwest,The Other Factory,5,The Other Factory → MI,696.86,329,400.76
2023-03-05,2023-03-13,Standard,NC,South,Sugar Shack,8,Sugar Shack → NC,159.42,108,105.41999999999999
2023-07-14,2023-07-17,Standard,NC,South,Wicked Choccy's,3,Wicked Choccy's → NC,394.92,165,196.92000000000002
2023-08-09,2023-08-13,Standard,NC,South,The Other Factory,4,The Other Factory → NC,593.0,271,349.1
2023-03-28,2023-04-02,Standard,VA,South,Lot's O' Nuts,5,Lot's O' Nuts → VA,181.89,57,96.38999999999999
2023-05-01,2023-05-04,Standard,OH,Midwest,Sugar Shack,3,Sugar Shack → OH,222.1,135,154.6
2023-11-09,2023-11-11,Expedited,NJ,Northeast,Lot's O' Nuts,2,Lot's O' Nuts → NJ,1175.42,377,609.9200000000001
2023-09-11,2023-09-14,Standard,OH,Midwest,Secret Factory,3,Secret Factory → OH,1226.1,467,759.0999999999999
2023-02-24,2023-02-28,Expedited,OH,Midwest,Secret Factory,4,Secret Factory → OH,88.5,35,53.5
2023-03-04,2023-03-09,Standard,IN,Midwest,Secret Factory,5,Secret Factory → IN,1303.3,496,807.3
2023-08-15,2023-08-19,Standard,CT,Northeast,The Other Factory,4,The Other Factory → CT,920.03,390,569.03
2023-08-19,2023-08-23,Expedited,MI,Midwest,Sugar Shack,4,Sugar Shack → MI,469.19,330,304.19
2023-08-14,2023-08-19,Standard,FL,South,Lot's O' Nuts,5,Lot's O' Nuts → FL,1412.25,467,711.75
2023-03-12,2023-03-16,Standard,IN,Midwest,Wicked Choccy's,4,Wicked Choccy's → IN,103.21,42,52.809999999999995
2023-06-19,2023-06-25,Standard,NJ,Northeast,The Other Factory,6,The Other Factory → NJ,497.03,209,308.92999999999995
2023-10-27,2023-11-01,Standard,NJ,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → NJ,510.64,162,267.64
2023-08-03,2023-08-09,Standard,IN,Midwest,The Other Factory,6,The Other Factory → IN,514.13,258,281.93
2023-06-22,2023-06-23,Expedited,IN,Midwest,Secret Factory,1,Secret Factory → IN,1159.88,474,685.8800000000001
2023-10-16,2023-10-22,Standard,NV,West,Lot's O' Nuts,6,Lot's O' Nuts → NV,281.21,103,126.70999999999998
2023-07-14,2023-07-20,Standard,IN,Midwest,Sugar Shack,6,Sugar Shack → IN,239.49,152,163.49
2023-08-04,2023-08-07,Standard,NV,West,Sugar Shack,3,Sugar Shack → NV,723.13,497,474.63
2023-11-29,2023-12-02,Expedited,CA,West,Lot's O' Nuts,3,Lot's O' Nuts → CA,915.59,328,423.59000000000003
2023-03-06,2023-03-10,Expedited,AZ,West,Secret Factory,4,Secret Factory → AZ,875.15,368,507.15
2023-07-08,2023-07-09,Expedited,WA,West,Wicked Choccy's,1,Wicked Choccy's → WA,692.43,306,325.22999999999996
2023-06-09,2023-06-11,Expedited,NJ,Northeast,The Other Factory,2,The Other Factory → NJ,107.55,48,64.35
2023-11-18,2023-11-19,Expedited,OR,West,Wicked Choccy's,1,Wicked Choccy's → OR,1143.38,417,642.9800000000001
2023-01-22,2023-01-27,Standard,MA,Northeast,Sugar Shack,5,Sugar Shack → MA,25.68,16,17.68
2023-09-08,2023-09-14,Standard,MA,Northeast,Lot's O' Nuts,6,Lot's O' Nuts → MA,1038.55,372,480.54999999999995
2023-04-01,2023-04-05,Expedited,VA,South,The Other Factory,4,The Other Factory → VA,538.57,248,315.37000000000006
2023-10-31,2023-11-05,Expedited,FL,South,Sugar Shack,5,Sugar Shack → FL,684.7,461,454.20000000000005
2023-08-26,2023-08-31,Standard,MA,Northeast,The Other Factory,5,The Other Factory → MA,226.04,103,133.33999999999997
2023-07-01,2023-07-06,Expedited,GA,South,Sugar Shack,5,Sugar Shack → GA,447.83,274,310.83
2023-02-13,2023-02-17,Standard,NJ,Northeast,Wicked Choccy's,4,Wicked Choccy's → NJ,903.16,363,467.55999999999995
2023-12-31,2024-01-08,Standard,NY,Northeast,Secret Factory,8,Secret Factory → NY,863.28,364,499.28
2023-12-06,2023-12-11,Standard,NC,South,The Other Factory,5,The Other Factory → NC,549.0,227,344.7
2023-10-09,2023-10-17,Standard,NC,South,Sugar Shack,8,Sugar Shack → NC,111.21,71,75.71
2023-06-11,2023-06-17,Standard,OH,Midwest,Lot's O' Nuts,6,Lot's O' Nuts → OH,473.35,151,246.85000000000002
2023-09-26,2023-09-29,Expedited,TX,South,The Other Factory,3,The Other Factory → TX,269.49,126,156.09
2023-06-04,2023-06-07,Standard,MI,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → MI,842.46,293,402.96000000000004
2023-03-06,2023-03-16,Standard,CA,West,Secret Factory,10,Secret Factory → CA,568.78,235,333.78
2023-01-27,2023-02-04,Expedited,NY,Northeast,Sugar Shack,8,Sugar Shack → NY,71.59,47,48.09
2023-12-18,2023-12-21,Expedited,OH,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → OH,174.71,53,95.21000000000001
2023-03-02,2023-03-06,Standard,CT,Northeast,The Other Factory,4,The Other Factory → CT,899.44,407,533.1400000000001
2023-08-19,2023-08-22,Expedited,VA,South,Secret Factory,3,Secret Factory → VA,770.71,301,469.71000000000004
2023-11-09,2023-11-12,Standard,OH,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → OH,255.95,90,120.94999999999999
2023-10-10,2023-10-16,Standard,IL,Midwest,Lot's O' Nuts,6,Lot's O' Nuts → IL,432.41,159,193.91000000000003
2023-05-28,2023-06-04,Standard,NY,Northeast,Sugar Shack,7,Sugar Shack → NY,314.27,227,200.76999999999998
2023-04-26,2023-04-30,Standard,FL,South,Wicked Choccy's,4,Wicked Choccy's → FL,997.58,415,499.58000000000004
2023-10-19,2023-10-28,Standard,NY,Northeast,Sugar Shack,9,Sugar Shack → NY,704.38,492,458.38
2023-10-04,2023-10-13,Standard,NY,Northeast,Secret Factory,9,Secret Factory → NY,757.68,319,438.67999999999995
2023-02-16,2023-02-20,Standard,OR,West,Wicked Choccy's,4,Wicked Choccy's → OR,627.37,250,327.37
2023-08-15,2023-08-21,Standard,WI,Midwest,Sugar Shack,6,Sugar Shack → WI,83.5,56,55.5
2023-07-29,2023-08-06,Expedited,TX,South,Sugar Shack,8,Sugar Shack → TX,547.0,365,364.5
2023-12-06,2023-12-11,Standard,NV,West,Secret Factory,5,Secret Factory → NV,403.89,175,228.89
2023-07-26,2023-07-29,Standard,AZ,West,The Other Factory,3,The Other Factory → AZ,234.06,106,138.66
2023-11-15,2023-11-22,Standard,NY,Northeast,Secret Factory,7,Secret Factory → NY,629.56,234,395.55999999999995
2023-09-06,2023-09-08,Expedited,AZ,West,Lot's O' Nuts,2,Lot's O' Nuts → AZ,512.16,169,258.65999999999997
2023-10-10,2023-10-11,Expedited,WA,West,Secret Factory,1,Secret Factory → WA,669.99,246,423.99
2023-11-28,2023-12-03,Standard,MA,Northeast,Wicked Choccy's,5,Wicked Choccy's → MA,592.15,222,325.75
2023-08-30,2023-09-03,Standard,CT,Northeast,Wicked Choccy's,4,Wicked Choccy's → CT,1226.4,481,649.2
2023-03-11,2023-03-16,Standard,NC,South,Lot's O' Nuts,5,Lot's O' Nuts → NC,1161.66,430,516.6600000000001
2023-06-02,2023-06-08,Standard,PA,Northeast,The Other Factory,6,The Other Factory → PA,395.49,186,228.09
2023-10-06,2023-10-08,Expedited,MA,Northeast,Secret Factory,2,Secret Factory → MA,737.33,302,435.33000000000004
2023-07-30,2023-08-03,Expedited,NC,South,Lot's O' Nuts,4,Lot's O' Nuts → NC,681.66,207,371.15999999999997
2023-11-30,2023-12-06,Standard,NY,Northeast,Wicked Choccy's,6,Wicked Choccy's → NY,1221.34,457,672.9399999999999
2023-02-21,2023-02-27,Expedited,NY,Northeast,The Other Factory,6,The Other Factory → NY,104.96,48,61.75999999999999
2023-05-16,2023-05-23,Expedited,NY,Northeast,Sugar Shack,7,Sugar Shack → NY,516.65,330,351.65
2023-09-07,2023-09-12,Standard,AZ,West,The Other Factory,5,The Other Factory → AZ,290.88,126,177.48
2023-08-11,2023-08-16,Standard,NV,West,Lot's O' Nuts,5,Lot's O' Nuts → NV,1282.6,472,574.5999999999999
2023-06-16,2023-06-20,Standard,GA,South,Lot's O' Nuts,4,Lot's O' Nuts → GA,407.52,135,205.01999999999998
2023-10-17,2023-10-23,Standard,OH,Midwest,Wicked Choccy's,6,Wicked Choccy's → OH,847.44,327,455.0400000000001
2023-09-12,2023-09-17,Standard,OH,Midwest,The Other Factory,5,The Other Factory → OH,512.62,245,292.12
2023-01-05,2023-01-11,Standard,VA,South,Secret Factory,6,Secret Factory → VA,1194.43,493,701.4300000000001
2023-10-28,2023-11-02,Standard,MA,Northeast,Sugar Shack,5,Sugar Shack → MA,183.13,111,127.63
2023-09-05,2023-09-10,Standard,IN,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → IN,1058.79,368,506.78999999999996
2023-12-04,2023-12-07,Standard,TX,South,Secret Factory,3,Secret Factory → TX,1215.32,476,739.3199999999999
2023-09-12,2023-09-14,Expedited,WI,Midwest,Sugar Shack,2,Sugar Shack → WI,471.36,335,303.86
2023-05-09,2023-05-16,Standard,CA,West,Wicked Choccy's,7,Wicked Choccy's → CA,744.32,306,377.12000000000006
2023-03-09,2023-03-11,Expedited,GA,South,Lot's O' Nuts,2,Lot's O' Nuts → GA,311.28,112,143.27999999999997
2023-10-04,2023-10-14,Standard,FL,South,Sugar Shack,10,Sugar Shack → FL,631.56,392,435.55999999999995
2023-02-28,2023-03-02,Expedited,WA,West,Secret Factory,2,Secret Factory → WA,1164.67,450,714.6700000000001
2023-12-12,2023-12-13,Expedited,TX,South,Secret Factory,1,Secret Factory → TX,365.15,145,220.14999999999998
2023-08-21,2023-08-28,Standard,VA,South,Sugar Shack,7,Sugar Shack → VA,504.15,355,326.65
2023-01-13,2023-01-16,Standard,VA,South,The Other Factory,3,The Other Factory → VA,784.74,335,483.24
2023-12-25,2023-12-31,Standard,NY,Northeast,Sugar Shack,6,Sugar Shack → NY,362.83,262,231.82999999999998
2023-05-01,2023-05-07,Standard,IN,Midwest,The Other Factory,6,The Other Factory → IN,715.05,310,436.04999999999995
2023-03-21,2023-03-26,Standard,NV,West,Secret Factory,5,Secret Factory → NV,67.47,26,41.47
2023-04-22,2023-04-23,Expedited,PA,Northeast,Secret Factory,1,Secret Factory → PA,878.55,361,517.55
2023-11-27,2023-11-30,Standard,NV,West,Sugar Shack,3,Sugar Shack → NV,794.18,495,546.68
2023-08-21,2023-08-22,Expedited,WI,Midwest,Lot's O' Nuts,1,Lot's O' Nuts → WI,1194.84,412,576.8399999999999
2023-03-06,2023-03-08,Expedited,IL,Midwest,The Other Factory,2,The Other Factory → IL,643.26,310,364.26
2023-04-30,2023-05-04,Standard,WI,Midwest,Sugar Shack,4,Sugar Shack → WI,114.92,76,76.92
2023-03-31,2023-04-04,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,900.12,311,433.62
2023-03-31,2023-04-01,Expedited,WA,West,Sugar Shack,1,Sugar Shack → WA,535.31,391,339.80999999999995
2023-08-18,2023-08-21,Standard,NV,West,Sugar Shack,3,Sugar Shack → NV,605.46,382,414.46000000000004
2023-12-04,2023-12-07,Standard,NC,South,The Other Factory,3,The Other Factory → NC,99.19,41,62.29
2023-07-25,2023-07-29,Expedited,NV,West,Secret Factory,4,Secret Factory → NV,126.88,47,79.88
2023-06-14,2023-06-19,Standard,IL,Midwest,The Other Factory,5,The Other Factory → IL,495.62,205,311.12
2023-09-29,2023-10-02,Standard,CT,Northeast,Sugar Shack,3,Sugar Shack → CT,649.18,416,441.17999999999995
2023-12-02,2023-12-06,Standard,IN,Midwest,The Other Factory,4,The Other Factory → IN,470.54,221,271.64
2023-08-21,2023-08-29,Standard,NY,Northeast,Secret Factory,8,Secret Factory → NY,548.09,201,347.09000000000003
2023-12-18,2023-12-23,Expedited,CA,West,Secret Factory,5,Secret Factory → CA,154.72,59,95.72
2023-07-10,2023-07-13,Expedited,AZ,West,Wicked Choccy's,3,Wicked Choccy's → AZ,815.82,353,392.22
2023-07-01,2023-07-06,Standard,OR,West,Secret Factory,5,Secret Factory → OR,159.95,63,96.94999999999999
2023-04-19,2023-04-22,Expedited,PA,Northeast,Wicked Choccy's,3,Wicked Choccy's → PA,1117.43,442,587.0300000000001
2023-02-28,2023-03-01,Expedited,IN,Midwest,Sugar Shack,1,Sugar Shack → IN,522.82,321,362.32000000000005
2023-12-22,2023-12-27,Standard,WA,West,Sugar Shack,5,Sugar Shack → WA,698.39,481,457.89
2023-01-04,2023-01-07,Standard,WI,Midwest,Wicked Choccy's,3,Wicked Choccy's → WI,214.88,82,116.47999999999999
2023-01-16,2023-01-21,Standard,IN,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → IN,262.98,90,127.98000000000002
2023-06-16,2023-06-20,Standard,CA,West,The Other Factory,4,The Other Factory → CA,324.07,149,189.97
2023-08-06,2023-08-09,Standard,NJ,Northeast,Secret Factory,3,Secret Factory → NJ,458.48,186,272.48
2023-05-26,2023-05-29,Standard,CT,Northeast,The Other Factory,3,The Other Factory → CT,262.78,122,152.97999999999996
2023-11-03,2023-11-07,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,1118.5,402,515.5
2023-05-11,2023-05-20,Standard,TX,South,Sugar Shack,9,Sugar Shack → TX,111.27,76,73.27
2023-12-27,2023-12-30,Standard,TX,South,Wicked Choccy's,3,Wicked Choccy's → TX,526.43,233,246.82999999999993
2023-02-09,2023-02-15,Standard,CT,Northeast,Sugar Shack,6,Sugar Shack → CT,218.76,158,139.76
2023-01-11,2023-01-16,Standard,WI,Midwest,Sugar Shack,5,Sugar Shack → WI,81.46,55,53.959999999999994
2023-02-24,2023-02-27,Standard,CT,Northeast,Wicked Choccy's,3,Wicked Choccy's → CT,569.28,212,314.88
2023-06-23,2023-06-26,Standard,FL,South,Wicked Choccy's,3,Wicked Choccy's → FL,703.9,281,366.7
2023-06-28,2023-07-03,Standard,OH,Midwest,Sugar Shack,5,Sugar Shack → OH,155.63,111,100.13
2023-03-20,2023-03-26,Standard,IN,Midwest,Lot's O' Nuts,6,Lot's O' Nuts → IN,1165.11,358,628.1099999999999
2023-10-17,2023-10-20,Standard,GA,South,The Other Factory,3,The Other Factory → GA,543.64,250,318.64
2023-06-05,2023-06-10,Standard,OR,West,Sugar Shack,5,Sugar Shack → OR,365.45,246,242.45
2023-01-30,2023-02-07,Standard,TX,South,Sugar Shack,8,Sugar Shack → TX,374.93,246,251.93
2023-01-22,2023-01-26,Standard,MI,Midwest,Secret Factory,4,Secret Factory → MI,1140.47,500,640.47
2023-02-22,2023-02-25,Standard,AZ,West,Sugar Shack,3,Sugar Shack → AZ,212.47,136,144.47
2023-08-13,2023-08-18,Standard,MI,Midwest,The Other Factory,5,The Other Factory → MI,449.25,208,262.05
2023-06-23,2023-06-26,Standard,OR,West,The Other Factory,3,The Other Factory → OR,672.15,295,406.65
2023-05-26,2023-05-30,Standard,MI,Midwest,Sugar Shack,4,Sugar Shack → MI,696.92,479,457.41999999999996
2023-12-02,2023-12-03,Expedited,WI,Midwest,Secret Factory,1,Secret Factory → WI,424.95,168,256.95
2023-11-26,2023-12-02,Standard,WI,Midwest,Sugar Shack,6,Sugar Shack → WI,393.81,270,258.81
2023-07-05,2023-07-11,Standard,OH,Midwest,Sugar Shack,6,Sugar Shack → OH,153.14,108,99.13999999999999
2023-03-12,2023-03-13,Expedited,OR,West,Wicked Choccy's,1,Wicked Choccy's → OR,708.93,269,386.12999999999994
2023-09-27,2023-10-03,Standard,VA,South,Lot's O' Nuts,6,Lot's O' Nuts → VA,246.17,88,114.16999999999999
2023-12-21,2023-12-26,Standard,IN,Midwest,The Other Factory,5,The Other Factory → IN,817.6,356,497.20000000000005
2023-08-16,2023-08-20,Standard,NC,South,The Other Factory,4,The Other Factory → NC,404.02,168,252.82
2023-08-29,2023-09-02,Expedited,VA,South,Wicked Choccy's,4,Wicked Choccy's → VA,963.53,403,479.92999999999995
2023-07-15,2023-07-17,Expedited,PA,Northeast,The Other Factory,2,The Other Factory → PA,953.04,456,542.64
2023-11-25,2023-11-26,Expedited,VA,South,Secret Factory,1,Secret Factory → VA,355.25,155,200.25
2023-03-24,2023-03-30,Standard,CT,Northeast,Sugar Shack,6,Sugar Shack → CT,91.5,56,63.5
2023-04-24,2023-04-30,Standard,TX,South,Secret Factory,6,Secret Factory → TX,650.67,267,383.66999999999996
2023-07-17,2023-07-20,Standard,FL,South,Lot's O' Nuts,3,Lot's O' Nuts → FL,1373.55,439,715.05
2023-06-21,2023-06-27,Standard,IL,Midwest,Wicked Choccy's,6,Wicked Choccy's → IL,975.59,366,536.3900000000001
2023-12-28,2023-12-31,Standard,CT,Northeast,Secret Factory,3,Secret Factory → CT,45.18,19,26.18
2023-03-18,2023-03-23,Expedited,NY,Northeast,The Other Factory,5,The Other Factory → NY,144.07,72,79.27
2023-08-03,2023-08-10,Standard,NY,Northeast,The Other Factory,7,The Other Factory → NY,734.85,333,435.15000000000003
2023-05-04,2023-05-09,Standard,NC,South,Wicked Choccy's,5,Wicked Choccy's → NC,337.2,133,177.6
2023-04-06,2023-04-07,Expedited,TX,South,Lot's O' Nuts,1,Lot's O' Nuts → TX,673.82,209,360.32000000000005
2023-01-23,2023-01-26,Expedited,GA,South,Secret Factory,3,Secret Factory → GA,943.2,413,530.2
2023-05-04,2023-05-09,Standard,FL,South,Lot's O' Nuts,5,Lot's O' Nuts → FL,1314.5,426,675.5
2023-12-17,2023-12-18,Expedited,PA,Northeast,Secret Factory,1,Secret Factory → PA,991.92,376,615.92
2023-08-23,2023-08-27,Standard,FL,South,Lot's O' Nuts,4,Lot's O' Nuts → FL,1261.74,463,567.24
2023-06-08,2023-06-11,Standard,CT,Northeast,The Other Factory,3,The Other Factory → CT,894.53,395,539.03
2023-05-27,2023-06-01,Standard,OR,West,Sugar Shack,5,Sugar Shack → OR,376.73,233,260.23
2023-08-14,2023-08-20,Standard,FL,South,Secret Factory,6,Secret Factory → FL,537.01,198,339.01
2023-09-23,2023-09-27,Standard,NV,West,Sugar Shack,4,Sugar Shack → NV,415.62,289,271.12
2023-02-22,2023-02-28,Standard,GA,South,Lot's O' Nuts,6,Lot's O' Nuts → GA,295.82,95,153.32
2023-06-29,2023-07-05,Standard,OR,West,Secret Factory,6,Secret Factory → OR,385.46,150,235.45999999999998
2023-01-30,2023-02-03,Standard,MA,Northeast,Lot's O' Nuts,4,Lot's O' Nuts → MA,1351.19,497,605.69
2023-11-08,2023-11-13,Standard,WA,West,Secret Factory,5,Secret Factory → WA,476.08,195,281.08
2023-10-18,2023-10-21,Expedited,IN,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → IN,748.41,237,392.90999999999997
2023-10-21,2023-10-26,Standard,NC,South,Wicked Choccy's,5,Wicked Choccy's → NC,374.05,137,209.65
2023-01-14,2023-01-17,Standard,CT,Northeast,Wicked Choccy's,3,Wicked Choccy's → CT,379.8,144,207.0
2023-12-27,2024-01-02,Standard,WI,Midwest,Secret Factory,6,Secret Factory → WI,258.87,112,146.87
2023-02-07,2023-02-10,Expedited,IN,Midwest,Secret Factory,3,Secret Factory → IN,850.72,351,499.72
2023-02-03,2023-02-05,Expedited,GA,South,The Other Factory,2,The Other Factory → GA,889.85,416,515.45
2023-04-25,2023-05-01,Standard,OH,Midwest,Lot's O' Nuts,6,Lot's O' Nuts → OH,67.08,23,32.58
2023-10-21,2023-10-24,Standard,CT,Northeast,Sugar Shack,3,Sugar Shack → CT,62.04,43,40.54
2023-09-03,2023-09-04,Expedited,NJ,Northeast,The Other Factory,1,The Other Factory → NJ,178.18,74,111.58000000000001
2023-11-25,2023-11-30,Standard,NJ,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → NJ,242.01,75,129.51
2023-10-10,2023-10-13,Standard,OH,Midwest,The Other Factory,3,The Other Factory → OH,885.06,435,493.55999999999995
2023-03-20,2023-03-24,Standard,OH,Midwest,Sugar Shack,4,Sugar Shack → OH,305.6,187,212.10000000000002
2023-09-23,2023-09-28,Standard,OR,West,Sugar Shack,5,Sugar Shack → OR,113.78,74,76.78
2023-11-11,2023-11-15,Standard,AZ,West,The Other Factory,4,The Other Factory → AZ,220.17,97,132.87
2023-11-06,2023-11-13,Standard,CA,West,Sugar Shack,7,Sugar Shack → CA,611.7,402,410.70000000000005
2023-11-13,2023-11-18,Standard,CT,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → CT,731.66,257,346.15999999999997
2023-12-17,2023-12-20,Standard,NC,South,Secret Factory,3,Secret Factory → NC,222.28,90,132.28
2023-09-05,2023-09-10,Standard,MI,Midwest,Secret Factory,5,Secret Factory → MI,1176.74,451,725.74
2023-06-26,2023-06-29,Standard,MI,Midwest,Secret Factory,3,Secret Factory → MI,410.16,173,237.16000000000003
2023-03-04,2023-03-07,Standard,PA,Northeast,Sugar Shack,3,Sugar Shack → PA,258.11,158,179.11
2023-11-12,2023-11-15,Expedited,OH,Midwest,Secret Factory,3,Secret Factory → OH,281.58,107,174.57999999999998
